iufo_freereport
id,name
1003Z810000000007KDU,请购单执行明细
1003Z8100000000027H8,暂估月统计
1001Z81000000002V6Q7,采购结算单查询
1003Z8100000000062DJ,采购发票明细查询
1001Z810000000000G7H,采购待开票数量查询
1001Z810000000000NX6,到货计划查询
1001Z81000000000G493,到货单查询
1003Z81000000000292L,采购订单明细查询
1002Z8100000000016JR,采购订单执行查询
1002Z81000000000LWKZ,供应商暂估余额查询
1003Z810000000002JU0,采购订单退货明细查询
1001Z810000000008YJ6,采购综合日报
1007Z8100000000015P6,日到货情况查询
1001Z810000000009FIF,按供应商统计订单完成率
1008Z810000000001GHB,采购暂估差异表
1002Z810000000001VWY,采购订单统计表
1008Z810000000001PQG,采购订单在途查询
1001Z8100000000067RL,供应商暂估明细查询
1003Z810000000007KE8,采购订单付款执行情况查询
1001Z810000000000Q8W,供应商暂估余额表
1004Z810000000000OOZ,物资需求申请汇总表
1001Z8100000000065IE,物资需求申请执行情况
